Product,Issue,Company
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,Other,Citibank
Credit card,Rewards,Discover
Credit card,Billing disputes,Citibank
Credit card,Other,Bank of America
Credit card,Credit card protection / Debt protection,Bank of America
Credit card,Application processing delay,Synchrony Financial
Credit card,Bankruptcy,Bank of America
Credit card,Closing/Cancelling account,Discover
Credit card,Cash advance fee,Bank of America
Credit card,Closing/Cancelling account,Amex
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Advertising and marketing,Barclays PLC
Credit card,Credit determination,Citibank
Credit card,Closing/Cancelling account,Discover
Credit card,Identity theft / Fraud / Embezzlement,Bank of America
Credit card,Other,Discover
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,APR or interest rate,Amex
Credit card,Billing disputes,Banco Santander Puerto Rico
Credit card,Bankruptcy,Capital One
Credit card,Other,Citibank
Credit card,Delinquent account,Discover
Credit card,Late fee,TD Bank US Holding Company
Credit card,Identity theft / Fraud / Embezzlement,Synchrony Financial
Credit card,Unsolicited issuance of credit card,Capital One
Credit card,Customer service / Customer relations,Encore Capital Group
Credit card,Billing disputes,Citibank
Credit card,Identity theft / Fraud / Embezzlement,Wells Fargo & Company
Credit card,Delinquent account,Capital One
Credit card,Other,TD Bank US Holding Company
Credit card,Credit card protection / Debt protection,Synchrony Financial
Credit card,Advertising and marketing,JPMorgan Chase & Co.
Credit card,Credit determination,Citibank
Credit card,Closing/Cancelling account,Discover
Credit card,Credit determination,Citibank
Credit card,Credit card protection / Debt protection,Citibank
Credit card,Billing disputes,Bank of America
Credit card,Late fee,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Synchrony Financial
Credit card,Late fee,Regions Financial Corporation
Credit card,Closing/Cancelling account,Synchrony Financial
Credit card,Customer service / Customer relations,Discover
Credit card,Identity theft / Fraud / Embezzlement,Citibank
Credit card,Closing/Cancelling account,Discover
Credit card,Closing/Cancelling account,Discover
Credit card,Rewards,Bank of America
Credit card,Transaction issue,HSBC North America Holdings Inc.
Credit card,Other,Citibank
Credit card,Delinquent account,Citibank
Credit card,Rewards,Blackhawk Network Holdings Inc.
Credit card,Billing disputes,Citibank
Credit card,Billing disputes,Synchrony Financial
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Billing disputes,Citibank
Credit card,Credit card protection / Debt protection,"Machol & Johannes, LLC"
Credit card,Billing statement,Synchrony Financial
Credit card,Unsolicited issuance of credit card,Synchrony Financial
Credit card,Billing disputes,Capital One
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Credit determination,Wells Fargo & Company
Credit card,Payoff process,Synchrony Financial
Credit card,Advertising and marketing,Capital One
Credit card,Other,Barclays PLC
Credit card,Bankruptcy,Bank of America
Credit card,Closing/Cancelling account,Discover
Credit card,APR or interest rate,JPMorgan Chase & Co.
Credit card,Billing statement,Bank of the West
Credit card,Customer service / Customer relations,Discover
